"Metric","Value"
"Total risks","44"
"Critical","19 (JTS-R-001, JTS-R-003, JTS-R-006, JTS-R-008, JTS-R-009, JTS-R-021, JTS-R-023, JTS-R-024, JTS-R-026, JTS-R-027, JTS-R-028, JTS-R-031, JTS-R-032, JTS-R-033, JTS-R-034, JTS-R-036, JTS-R-039, JTS-R-040, JTS-R-041)"
"High","13"
"Medium","12"
"Low","0"
"Current release blockers (Block)","JTS-R-001, JTS-R-003, JTS-R-006, JTS-R-008, JTS-R-009, JTS-R-021, JTS-R-023, JTS-R-024, JTS-R-026, JTS-R-027, JTS-R-028, JTS-R-031, JTS-R-032, JTS-R-033, JTS-R-034, JTS-R-036, JTS-R-039, JTS-R-040, JTS-R-041"
